Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                                   1             parsePrecedence <cycle 2> [50]
[49]     0.0    0.00    0.00       1         interpolation <cycle 2> [49]
                0.00    0.00       3/3           extractInterpolationString [53]
                0.00    0.00       1/1           newInterpolationNode [64]
                0.00    0.00       1/3           freeNodeArray [57]
                0.00    0.00       5/26          writeNodeArray [56]
                0.00    0.00       3/51          match [103]
                0.00    0.00       1/6           initNodeArray [130]
                                   2             expression <cycle 2> [66]
-----------------------------------------------
                                   1             binary <cycle 2> [59]
                                   1             range <cycle 2> [65]
                                   6             expression <cycle 2> [66]
[50]     0.0    0.00    0.00       8         parsePrecedence <cycle 2> [50]
                0.00    0.00       2/2           string [55]
                0.00    0.00       3/3           number [58]
                0.00    0.00       2/2           variable [62]
                0.00    0.00      20/21          getRule [118]
                0.00    0.00      10/21          advance [117]
                0.00    0.00       2/2           isExpectedLabel [148]
                                   1             interpolation <cycle 2> [49]
                                   1             binary <cycle 2> [59]
                                   1             range <cycle 2> [65]
-----------------------------------------------
                0.00    0.00      11/11          defineNativeType [48]
[51]     0.0    0.00    0.00      11         newType [51]
                0.00    0.00      11/20368       allocateObject [12]
                0.00    0.00      11/30          initTable [109]
-----------------------------------------------
                0.00    0.00       2/5           string [55]
                0.00    0.00       3/5           extractInterpolationString [53]
[52]     0.0    0.00    0.00       5         copyStringUnescaped [52]
                0.00    0.00       5/10005       takeString [15]
                0.00    0.00       5/141217      reallocate <cycle 1> [77]
-----------------------------------------------
                0.00    0.00       3/3           interpolation <cycle 2> [49]
[53]     0.0    0.00    0.00       3         extractInterpolationString [53]
                0.00    0.00       3/5           copyStringUnescaped [52]
                0.00    0.00       3/9           newLiteralNode [54]
-----------------------------------------------
                0.00    0.00       1/9           range <cycle 2> [65]
                0.00    0.00       2/9           string [55]
                0.00    0.00       3/9           extractInterpolationString [53]
                0.00    0.00       3/9           number [58]
